Company,Post_Number,Post_Text,Post_Link,External_Links,Likes,Comments,Reposts,Post_Date,Scraped_At
Google,17,"We're helping small businesses level up this National Small Business Week! 🚀 We’re giving U.S. small businesses and their teams no-cost access to our best AI tools and training to help your team to streamline daily tasks, sharpen your strategy, and get more done: 🎓 Google AI Professional Certificate ✨ 3 months of Google AI Pro 💼 3 months of Google Workspace Business Standard Learn more and sign up today → grow.google/smb",https://www.linkedin.com/feed/update/urn:li:activity:7458141181533749248/,http://grow.google/smb,517,53,36,3w,2026-05-29 12:47:07
Google,18,"Think you need to be an expert before you graduate? Software Engineer Abena says otherwise. “Being a student is the time to try as many things as possible and to ask questions,” she says. “Your experiences are what will set you apart. Both your successes and failures will bring unique perspectives to what you do in the future.” Her key takeaway? Focus on asking questions and building a broad range of experiences. Abena, now working on Colossus, our distributed file system, focuses on reliability and performance at scale. Her favorite part of the job is how her team collaborates to solve massive, real-world challenges. “No problem is too big for us, and I learn something new every day,” she says. “It’s rewarding to know that what I do can improve the lives of people around the world.” Interested in a career like Abena’s? Explore our open roles → https://goo.gle/4noFyra",https://www.linkedin.com/feed/update/urn:li:activity:7457522888984838144/,https://goo.gle/4noFyra,1064,56,24,3w,2026-05-29 12:47:07
Google,19,"In April, we rolled out new tools to help businesses make the most of agentic AI at Cloud Next, introduced our next-generation TPUs and launched Gemma 4, which already has more than 50 million downloads. Read on for our monthly recap of Google AI launches from April, including insights from Sundar Pichai and Thomas Kurian and fun facts about Google Translate’s 20th anniversary from Elizabeth Reid.",https://www.linkedin.com/feed/update/urn:li:activity:7457135585594335232/,,1515,88,56,3w,2026-05-29 12:47:07
Piris Labs,1,"Yann LeCun is right: we can't fit a trillion synapses on a single piece of silicon. But the true limitation isn't just the silicon—it's the latency between the chips. By significantly reducing the communication barriers between logical nodes, we allow a thousand separate processors to function as a single, continuous neural surface. We aren't just connecting computers; we are minimizing the physical and logical boundaries that currently force us into inefficient hardware multiplexing. hashtag #AI, hashtag #ArtificialIntelligence, hashtag #DeepLearning, hashtag #Compute, hashtag #interconnects, hashtag #DataCenter, hashtag #CPO",https://www.linkedin.com/feed/update/urn:li:activity:7432563117240438784/,,35,1,3,3m,2026-05-29 12:48:06
Piris Labs,2,,https://www.linkedin.com/feed/update/urn:li:activity:7416321808351539200/,https://lnkd.in/g4WtU9C8,11,0,1,4m,2026-05-29 12:48:06
Voxel Energy,1,,https://www.linkedin.com/feed/update/urn:li:activity:7424164620191354880/,http://www.voxelenergy.com | https://www.awesomic.com,8,0,0,3m,2026-05-29 12:49:05
Voxel Energy,2,"Voxel Energy builds data centers coupled with onsite power generation, enabling data center commissioning in months, not years. $3 Trillion in data center projects are slated for construction by 2030, yet half may never be built due to power constraints. Voxel bypasses the gridlock throttling the American AI boom and unlocks billions in pull-in revenue. Voxel leverages the ever-expanding pool of second-life EV batteries to build energy storage capacity into the hundreds of megawatt-hours and beyond. These batteries, coupled with solar and Voxel's novel DC microgrid architecture, enable grid-scale power without the grid-scale delays. The founding team is composed of ex-Tesla engineers and data center construction managers with recognition for commercial EV manufacturing in the US. Voxel’s systems are live, operational, and already running off-grid compute. Batteries are being amassed to accommodate demand. And hundreds of acres are already under contract. Reservations are now open for existing sites. Capacity is limited. Reach out if you’re tired of waiting to power your compute. founders@voxelenergy.com Read the white paper: https://lnkd.in/gu_4xwHx Congrats on the launch Casey Spencer, Evan Schmidt, and Max Pfeiffer! https://lnkd.in/gia28Pb4",https://www.linkedin.com/feed/update/urn:li:activity:7425237832186806272/,https://lnkd.in/gu_4xwHx | https://lnkd.in/gia28Pb4,323,89,16,4m,2026-05-29 12:49:05
Voxel Energy,3,"Voxel Energy is partnering with Sift to bring rocket-grade operational infrastructure to grid-independent power. 5-year grid wait. 30% energy lost to AC conversion. Half of $3T in planned data centers may never get built. The power isn't there. Voxel is built to fix this. DC-native. Solar and second-life EV batteries. Vacant lot to powered data center in months. New infrastructure demands a new operational standard. Sift will provide: Live Operations Monitoring: AI training loads spike without warning. Sift detects demand shifts so power ramp energy response is properly characterized in real time. Predictive Maintenance: Every component tracked down to individual battery modules. Vital telemetry made accessible for maximum longevity. Rocket-Grade Reliability: Sift was built by former SpaceX engineers to monitor launch vehicles. Next, our energy fleet. That's the bar. https://lnkd.in/ep6ZK6Dx",https://www.linkedin.com/feed/update/urn:li:activity:7427019921529745408/,http://www.voxelenergy.com | https://lnkd.in/ep6ZK6Dx | https://www.siftstack.com/mission-critical/voxel-energy-sift,24,1,5,3m,2026-05-29 12:49:05
Voxel Energy,4,"Voxel Energy is proud to announce our acceptance into Y Combinator's Winter 2026 batch. We are also honored to announce we won the W26 YC Product Showcase this past Monday. The grid is the bottleneck of the 21st century. At Voxel, we are building the new standard of rapidly deployable data centers and energy infrastructure. Joining the YC community accelerates our mission. ▪️ Read more about our launch: https://lnkd.in/gia28Pb4 ▪️ Read the white paper: https://lnkd.in/gu_4xwHx hashtag #VoxelEnergy hashtag #YCombinator hashtag #HardTech",https://www.linkedin.com/feed/update/urn:li:activity:7422322686569402368/,https://lnkd.in/gu_4xwHx | http://www.voxelenergy.com | https://lnkd.in/gia28Pb4,53,9,1,4m,2026-05-29 12:49:05
Axion Orbital,1,"🛰️ Legacy optical satellites are blind nearly 70% of the time due to clouds and darkness. Meanwhile, radar satellites can see through weather, but the data is difficult to interpret and doesn’t work with standard vision systems. AxionOrbital Space (YC W26) is solving this by translating raw radar signals into analysis-ready optical imagery in real time, enabling persistent 24/7 visibility for applications like defense, commodities, and disaster response, even when the sky is blocked! Imagine the capabilities. Launch video: https://lnkd.in/gBXgva5P Pioneer Fund is pumped to support Atharva Peshkar and Dhenenjay Yadav on their journey!",https://www.linkedin.com/feed/update/urn:li:activity:7438366762892500992/,https://lnkd.in/gBXgva5P,59,2,3,2m,2026-05-29 12:50:04
Axion Orbital,2,"We were voted the #1 most promising startup when our YC W26 batch kicked off. We were voted #3 during the YC W26 Product Showcase by our batchmates. Y Combinator says, ""Make Something People Want."" We have been building and experimenting heads-down for a while now. This is probably the most productive phase in our lives, surrounded by the best founders in the world. 1 month in, and we want to thank everyone who has been part of our learning every single day. Every single office hour with Tyler Bosmeny and Christina Gilbert, every single conversation about generating alpha with James Evans, valuable sales lessons by Gustaf Alströmer 🇺🇦, crazy batch programming by Garry Tan, weekly check-ins with Joe Connolly, Jason Graub, Josh Hoffman, David Wulff, and weekly YC events + Group Office Hours with amazing batchmates Visibl Semiconductors (YC W26), Skillsync (YC W26), Caretta, Crosslayer Labs, Foreman, and Perfectly (YC W26). 4 weeks, 2 conferences, multiple events, crazy amounts of mistakes, crazier amounts of learning. This is Y Combinator. We now know why it’s the best and most talent-dense accelerator in the world. Now we know, YC changes lives. More updates are coming very, very soon! 🚀 🚀 🚀 AxionOrbital Space (YC W26) Dhenenjay Yadav Atharva Peshkar hashtag #ycombinator hashtag #w26batch hashtag #spacetech hashtag #ai hashtag #entrepreneuship",https://www.linkedin.com/feed/update/urn:li:activity:7425735752434720769/,https://axionorbital.space/,473,122,7,3m,2026-05-29 12:50:05
Axion Orbital,3,"Update: Dhenenjay and I got into Y Combinator W26 (after getting rejected and then reversing it) to build AxionOrbital Space (YC W26). At AxionOrbital Space (YC W26), we're building foundation models to generate high-resolution optical satellite imagery from Radar (SAR). For decades, the space industry has had a dirty secret: 70% of the time, satellites are blind. Clouds, smoke, and darkness turn billion-dollar sensors into expensive, useless metal. The result? Earth observation is a lottery. You pay to task a satellite. You wait days. If it rains, you paid for a black square. We fixed the game. We use deterministic generative AI to translate Synthetic Aperture Radar (SAR), which sees through everything, into crystal-clear optical images. Input: unintelligible radar noise. Output: photorealistic vision in 0.06 seconds. We are replacing ""weather permitting"" intelligence with ground truth. This means tracking military convoys through storms, counting oil tanks in the monsoon, and mapping flood lines at night, at 1/100th the cost of optical tasking. We are actively onboarding partners with critical monitoring needs (Defense, Finance, Disaster Response) and SAR data providers. It took a village to turn that ""No"" into a ""Yes."" Huge thanks to our YC partners Tyler Bosmeny, Christina Gilbert, Gustaf Alströmer 🇺🇦, and James Evans for believing in the vision. A massive shoutout to everyone who supported us along the way: Akash Bansal, Eli Blee-Goldman, Haokun Qin, Joe Connolly, Neha Suresh, Ryan McLinko, Tobias Herber, Yotam Rosenbaum, Rachel ten Brink, Rohit Sirosh, Harsha Srijay, Avinash Joshi, Ajith Govind Satheesh, Leeds Rising, John Zeratsky, Sidharth Choraria, Philip Johnston, and James Fong. And special thanks to Danna Gurari, Rajshree Shrestha, Robin Cole, and Ranjan Kumar Ghosh for all the mentorship and guidance over the years. Watch us turn noise into signal below. 👇 https://lnkd.in/gpphfMcY hashtag #YCombinator hashtag #DeepTech hashtag #Space hashtag #AI hashtag #AxionOrbital hashtag #Startups",https://www.linkedin.com/feed/update/urn:li:activity:7407748598026846208/,https://lnkd.in/gpphfMcY | https://axionorbital.space/,780,186,6,5m,2026-05-29 12:50:05
Axion Orbital,4,"Weather models predict the atmosphere, but they don't tell you what actually happens on the ground. AxionOrbital Space (YC W26) is building NeoEarth, a world model for Earth Observation that forecasts how the ground will change up to a month in advance. Instead of just taking static snapshots, NeoEarth maintains a persistent state for locations on Earth, updating continuously as new satellite data arrives. By conditioning these dynamics on climate variables, it can accurately forecast critical events like flood risks, deforestation, and crop growth. To prove it works, the founders of AxionOrbital backtested their model on Hurricane Helene. Using NeoEarth, they predicted the hurricane's appearance and trajectory more accurately than the national forecasters did at the time. They're shifting Earth Observation from asking ""What is in this image?"" to answering ""What will happen here next?"" Congrats on the launch, Dhenenjay Yadav and Atharva Peshkar!",https://www.linkedin.com/feed/update/urn:li:activity:7438627220174127105/,,603,108,27,2m,2026-05-29 12:50:05
Axion Orbital,5,"Optical satellites fail about 70% of the time, yet defense strategies and market decisions depend on visibility that can be blocked by clouds and darkness. Modern intelligence demands reliable ground truth in any weather. AxionOrbital Space (YC W26) has built advanced SAR-to-Optical foundation models on Earth to solve this problem. Their Deterministic One-Step architecture resets the SOTA with an FID of 30.24 and SSIM of 0.6 by anchoring generation to physical spatial priors that strictly constrain outputs to reality. Their models, Hubble (10m resolution & Open Source) and Orion (0.5m & Restricted), achieve 0.06s inference latency for live monitoring. From air-gapped servers to the satellite edge, you can now track any asset through day, night, or storm. Congrats on the launch, Dhenenjay Yadav & Atharva Peshkar! 🚀 https://lnkd.in/g6ypdKnM",https://www.linkedin.com/feed/update/urn:li:activity:7414392535588188160/,https://lnkd.in/g6ypdKnM,508,96,23,4m,2026-05-29 12:50:05
Axion Orbital,6,"Introducing the world's first MCP Server that enables any LLM (via an MCP Client) to analyze petabyte-scale geospatial/satellite data and build end-to-end GIS models (including training, testing, and validation) in minutes. Today we are launching 'Axion Planetary MCP'. First of its kind, that connects LLMs with live satellite, ground sensors & a lot of different data feeds. It uses Google Cloud Platform for compute, processing and storage. I've been watching AI Agents emerge in every vertical, and I thought, ""Why not Geospatial Agents?"" At AxionOrbital Space (YC W26), we're building the world's first Agentic IDE to create highly complex geospatial models without spending millions on compute or consulting. This MCP server is a critical first step and offers a preview of what that agent-driven experience will feel like. This project is the foundation for autonomous Geo-Agents, and it's completely Open Source. You can either set up a local server (Stdio) or connect with our SSE endpoint, which will be free for everyone to access for the next month. We’d love feedback from the geospatial and AI community — give the repo a ⭐, try it out, and contribute if you’re excited about pushing geospatial AI forward. Repo : https://lnkd.in/dCxsDhXG P.S. Shoutout to Robin Cole for guiding me on Open Source software. hashtag #Geospatial hashtag #AI hashtag #LLM hashtag #OpenSource hashtag #EarthObservation hashtag #GIS hashtag #Developer hashtag #GoogleCloud hashtag #BigData hashtag #AgenticIDE hashtag #AxionOrbital",https://www.linkedin.com/feed/update/urn:li:activity:7374842982480568326/,https://lnkd.in/dCxsDhXG | https://axionorbital.space/,186,54,6,8m,2026-05-29 12:50:05
Axion Orbital,7,"If you want to understand satellite data painlessly and FAST, there is only one name in the game: AxionOrbital Space (YC W26)! Dhenenjay Yadav is building a no-code IDE that allows anyone to understand planetary scale geospatial data. Being a solo founder is not an easy task, but Dhenenjay is one of those rare people that genuinely executes as though he had 3 or 4 co-founders! But even better, after going through Character Capital Labs G4, he is now hiring! What are you waiting for? Get after it and hit Dhenenjay up!",https://www.linkedin.com/feed/update/urn:li:activity:7369758886440009729/,https://contact.character.vc/,60,4,2,8m,2026-05-29 12:50:05
